"title","year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Collateral",2004,120,65000000,7.7,24499,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Collateral Damage",2002,108,85000000,5.2,8590,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"College Coach",1933,76,245000,5.2,55,4.5,4.5,4.5,14.5,4.5,4.5,24.5,14.5,4.5,4.5,"",0,0,0,1,0,0,0
"Color Me Blood Red",1965,79,50000,3.4,130,14.5,14.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"Color Purple, The",1985,154,15000000,7.6,10599,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"",0,0,0,1,0,0,0
"Color of Money, The",1986,119,10000000,6.8,9095,4.5,4.5,4.5,4.5,4.5,24.5,34.5,24.5,4.5,4.5,"",0,0,0,1,0,0,0
"Color of Night",1994,133,40000000,4.7,4646,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"",0,0,0,1,0,1,0
"Coltelli del vendicatore, I",1966,86,75000,4.7,38,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,14.5,"",0,0,0,0,0,0,0
"Combat Shock",1986,92,40000,5.6,237,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"",0,0,0,1,0,0,0
"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean",1982,109,850000,6.9,607,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"",0,0,0,1,0,0,0
"Comedians of Comedy, The",2005,103,500000,8.8,8,0,0,0,0,0,0,14.5,14.5,24.5,45.5,"",0,0,1,0,1,0,0
"Coming to America",1988,116,28000000,6.6,13103,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"",0,0,1,0,0,1,0
"Command Decision",1948,112,3700000,7.5,262,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"",0,0,0,1,0,0,0
"Commandments",1997,88,5000000,5.4,468,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,1,1,0,1,0
"Committed",2000,98,3000000,5.2,739,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Company Jasmine",2001,55,150000,8.4,47,4.5,0,0,0,0,0,4.5,4.5,34.5,45.5,"",0,0,0,0,1,0,0
"Company Man",2000,86,16000000,4.8,492,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Company of Wolves, The",1984,95,2000000,6.4,1846,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"",0,0,0,0,0,0,0
"Company, The",2003,112,15000000,6.2,1505,14.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"PG-13",0,0,0,1,0,0,0
"Comunidad, La",2000,110,2000000,7.2,1270,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,1,0,0,0,0
"Con Air",1997,115,75000000,6.3,26642,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"",1,0,0,0,0,0,0
"Conan the Barbarian",1982,129,20000000,6.5,13624,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"",1,0,0,0,0,0,0
"Condemned",1929,86,600000,5.7,38,0,4.5,0,14.5,4.5,24.5,14.5,24.5,4.5,4.5,"",0,0,0,1,0,0,0
"Confession, The",1998,20,15000,6.9,18,0,14.5,4.5,4.5,4.5,14.5,0,14.5,0,44.5,"",0,0,1,0,0,0,1
"Confession, The",1999,114,4000000,5.8,519,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Confessions of a Dangerous Mind",2002,113,29000000,7.1,11487,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,0,0
"Confessions of a Nazi Spy",1939,104,1500000,6.6,126,0,0,4.5,4.5,4.5,24.5,34.5,24.5,4.5,4.5,"",0,0,0,1,0,0,0
"Confessions of a Teenage Drama Queen",2004,89,15000000,4.4,2205,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Confidence",2003,97,15000000,6.8,6168,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Conformista, Il",1970,115,750000,7.7,1348,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"",0,0,0,1,0,0,0
"Congo",1995,109,50000000,4.4,8058,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"Connecting Dots",2003,95,500000,7.7,6,0,0,0,14.5,0,14.5,14.5,0,14.5,34.5,"",0,0,1,1,0,0,0
"Connection, The",1962,110,167000,7.3,34,0,0,0,4.5,0,14.5,14.5,24.5,24.5,14.5,"",0,0,0,1,0,0,0
"Conqueror, The",1956,111,6000000,3.3,364,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"",1,0,0,0,0,0,0
"Conquest",1937,113,2732000,6.7,163,0,4.5,4.5,4.5,4.5,14.5,34.5,14.5,4.5,4.5,"",0,0,0,1,0,1,0
"Conquest of the Planet of the Apes",1972,88,1700000,5.5,2255,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"",1,0,0,0,0,0,0
"Conspiracy Theory",1997,135,75000000,6.4,15470,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,1,0
"Constantine",2005,121,100000000,6.4,11633,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"",1,0,0,1,0,0,0
"Contact",1997,153,90000000,7.3,36390,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"PG",0,0,0,1,0,0,0
"Contender, The",2000,126,9000000,6.9,7023,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,0,0
"Control de plagas",2004,14,5000,8.1,10,14.5,14.5,0,0,0,0,0,0,24.5,64.5,"",0,0,1,0,0,0,1
"Convention City",1933,69,239000,4.7,5,0,24.5,0,0,0,0,0,0,24.5,64.5,"",0,0,1,0,0,0,0
"Conversation, The",1974,113,1600000,8.1,10260,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"",0,0,0,1,0,0,0
"Cool Hot Rod, The",1953,26,1000,3.9,5,0,24.5,0,0,44.5,44.5,0,0,0,0,"",0,0,0,1,0,0,1
"Cool as Ice",1991,100,6000000,2.4,1280,44.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"",0,0,1,1,0,1,0
"Cop Land",1997,116,15000000,6.7,12677,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Copycat",1995,123,20000000,6.5,7804,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Coquette",1929,76,489106,4.9,90,4.5,4.5,14.5,14.5,14.5,4.5,14.5,14.5,4.5,14.5,"",0,0,0,1,0,0,0
"Coral Reef Adventure",2003,45,10000000,6.2,65,0,0,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"",0,0,0,0,1,0,1
"Core, The",2003,135,74000000,5.4,7860,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",1,0,0,1,0,0,0
"Corky Romano",2001,86,11000000,4.6,2463,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Corner of Your Eye",2003,96,100000,5.2,8,0,0,0,24.5,14.5,14.5,24.5,14.5,0,14.5,"",0,0,1,0,0,1,0
"Coronado",2003,88,4700000,4.5,411,4.5,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"Coronel no tiene quien le escriba, El",1999,122,3000000,6.9,265,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"",0,0,0,1,0,0,0
"Corpse Grinders, The",1972,62,47000,2.6,153,34.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"",0,0,1,0,0,0,0
"Cotton Club, The",1984,127,47000000,6.2,2663,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",0,0,0,1,0,0,0
"Cotton Comes to Harlem",1970,97,1200000,6.2,204,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,14.5,"",1,0,1,0,0,0,0
"Cotton Mary",1999,124,3500000,5.3,164,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Could This Be Love?",1973,29,5000,3.6,8,14.5,0,24.5,14.5,0,0,14.5,14.5,0,24.5,"",0,0,0,0,0,0,1
"Count of Monte Cristo, The",2002,134,35000000,7.4,13907,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"PG-13",1,0,0,1,0,0,0
"Countess from Hong Kong, A",1967,120,3500000,5.4,449,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0
"Country Bears, The",2002,88,35000000,3.7,664,34.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0
"Country of My Skull",2004,104,12000000,5.1,194,14.5,4.5,4.5,4.5,4.5,14.5,4.5,4.5,4.5,24.5,"R",0,0,0,1,0,0,0
"Courage Under Fire",1996,117,46000000,6.7,8884,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"R",1,0,0,1,0,0,0
"Cover Up",1991,87,7500000,3.3,193,14.5,4.5,24.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"",1,0,0,0,0,0,0
"Covered Wagon, The",1923,98,782000,7.9,49,0,4.5,0,0,4.5,4.5,24.5,14.5,34.5,14.5,"",0,0,0,0,0,1,0
"Cowboy and the Lady, The",1938,91,1500000,6.3,110,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,14.5,4.5,"",0,0,1,1,0,1,0
"Cowboys & Angels",2003,89,2000000,7.5,206,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,24.5,"",0,0,1,1,0,0,0
"Cowboys, The",1972,128,6000000,6.9,1316,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,0,0,0,0,0,0
"Coyote Ugly",2000,100,45000000,5.4,13221,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,1,1,0,1,0
"Crab Boy",1996,11,17000,2.1,5,44.5,0,0,0,0,0,64.5,0,0,0,"",0,0,0,0,0,0,1
"Crack in the World",1965,96,600000,5.8,244,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"",0,0,0,0,0,0,0
"Cradle 2 the Grave",2003,101,25000000,5.3,4164,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Cradle Will Rock",1999,132,32000000,6.7,3375,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Craft, The",1996,101,15000000,5.9,9187,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Craig's Wife",1936,73,300000,7.8,54,0,0,0,4.5,4.5,4.5,34.5,34.5,14.5,4.5,"",0,0,0,1,0,0,0
"Crank Calls",2002,10,40000,6.8,22,4.5,0,0,0,4.5,24.5,4.5,4.5,24.5,24.5,"",0,0,1,0,0,0,1
"Crash",2004,113,6500000,8.3,1660,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,45.5,"R",0,0,0,1,0,0,0
"Crawling Hand, The",1963,89,100000,2.6,248,34.5,24.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"Crazies, The",1973,103,275000,5.7,669,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"",1,0,0,1,0,0,0
"Crazy Love",2004,7,2000,9.2,17,4.5,0,0,0,4.5,0,0,0,0,84.5,"",0,0,1,0,0,0,1
"Crazy in Alabama",1999,111,15000000,6.1,2086,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,"PG-13",0,0,1,1,0,0,0
"Crazy-Quilt, The",1966,75,250000,4.2,16,0,0,4.5,4.5,14.5,0,0,4.5,14.5,45.5,"",0,0,0,1,0,0,0
"Crazy/Beautiful",2001,135,14000000,6.5,4503,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,1,0
"Creature",1985,97,4000000,3.8,293,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"Creepees vs. Robot Monster Number Two, The",2004,15,0,1.2,5,44.5,0,0,0,0,24.5,0,0,24.5,24.5,"",0,0,0,0,0,0,1
"Creepozoids",1987,72,75000,2.6,152,24.5,24.5,14.5,14.5,4.5,4.5,4.5,4.5,0,4.5,"",0,0,0,0,0,0,0
"Creepshow",1982,120,8000000,6,3687,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",0,0,1,0,0,0,0
"Creepshow 2",1987,92,3500000,4.9,1524,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0
"Creepy Tales: Girls Night Out",2003,115,30000,1.8,11,4.5,4.5,4.5,0,0,4.5,4.5,0,4.5,44.5,"",0,0,0,0,0,0,0
"Cremaster 2",1999,79,1700000,6.5,152,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"",0,0,0,1,0,0,0
"Crew, The",2000,84,23000000,5.3,1297,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Crier, The",1995,78,250000,3.3,12,34.5,14.5,4.5,4.5,4.5,0,0,14.5,0,4.5,"R",0,0,0,0,0,0,0
"Crime Partners 2000",2001,102,250000,4.4,57,14.5,14.5,4.5,0,14.5,14.5,14.5,4.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Crime Spree",2003,98,10000000,6.3,953,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Crimen del padre Amaro, El",2002,118,1800000,7,2469,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,1,0
"Crimes and Misdemeanors",1989,104,19000000,7.9,7302,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"",0,0,1,1,0,0,0
"Crimes of the Future",1970,70,20000,4.7,94,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,"",0,0,1,0,0,0,0
"Criminal, The",1960,97,200000,6.7,70,4.5,0,4.5,4.5,4.5,4.5,34.5,24.5,14.5,14.5,"",0,0,0,0,0,0,0
"Crimson Pirate, The",1952,105,1850000,7.2,831,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"",1,0,1,0,0,0,0
"Crimson Tide",1995,116,53000000,7.1,14033,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",1,0,0,1,0,0,0
"Crisis",1950,95,1616455,6.2,195,0,0,4.5,4.5,14.5,34.5,24.5,14.5,4.5,4.5,"",0,0,0,1,0,0,0
"Critical Care",1997,107,12000000,5.8,397,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Critters",1986,82,2000000,5.3,2219,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0
"Critters 2: The Main Course",1988,93,4500000,4.2,1074,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0
"Crocodile Dundee in Los Angeles",2001,92,25000000,4.7,2698,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG",0,0,1,1,0,0,0
"Crocodile Hunter: Collision Course, The",2002,90,13000000,5.3,1648,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Crooklyn",1994,115,14000000,6.2,1112,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"",0,0,1,1,0,0,0
"Crop Circles: Quest for Truth",2002,115,750000,7.2,66,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,"",0,0,0,0,1,0,0
"Crop, The",2004,103,40000,6.6,15,24.5,0,4.5,4.5,0,14.5,4.5,0,0,44.5,"",0,0,1,0,0,0,0
"Cross Country",1983,95,2500000,4.6,30,4.5,4.5,14.5,14.5,4.5,34.5,14.5,4.5,4.5,0,"",0,0,0,0,0,0,0
"Cross of Iron",1977,119,6000000,7.3,2587,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"",1,0,0,1,0,0,0
"Crossfire",1947,86,250000,7.6,593,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,24.5,4.5,"",0,0,0,1,0,0,0
"Crossplot",1969,96,1000000,4.1,49,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,0,14.5,"PG-13",0,0,0,0,0,0,0
"Crossroads",2002,93,12000000,3.1,8546,44.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"PG-13",0,0,1,1,0,1,0
"Crow, The",1994,98,15000000,7.2,20290,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"",1,0,0,0,0,0,0
"Crow: City of Angels, The",1996,84,13000000,3.8,3656,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Crow: Salvation, The",2000,102,25000000,4.9,1383,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"R",1,0,0,1,0,0,0
"Cruel Intentions",1999,97,11000000,6.5,25634,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"R",0,0,0,1,0,1,0
"Crutch",2004,88,500000,6.2,12,4.5,0,0,0,0,14.5,0,14.5,0,45.5,"",0,0,0,1,0,0,0
"Cry of the Banshee",1970,87,500000,4.6,180,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Cry-Baby",1990,85,11000000,6,4136,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"",0,0,1,0,0,1,0
"Cujo",1983,93,5000000,5.4,2922,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"Cultivision (Collapsing Stars)",2002,88,1000,8.4,5,0,0,0,0,0,0,44.5,0,44.5,24.5,"",0,0,1,0,0,0,0
"Cupid's Mistake",2001,70,0,8.1,11,14.5,0,0,0,0,0,0,0,24.5,45.5,"",0,0,0,0,0,0,0
"Curdled",1996,88,2309723,5.5,959,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Curiosity & the Cat",1999,80,45000,4.1,46,4.5,0,4.5,14.5,4.5,4.5,4.5,4.5,4.5,44.5,"",0,0,0,0,0,0,0
"Curly Sue",1991,101,30000000,4.7,2097,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,"",0,0,1,1,0,0,0
"Curse of El Charro, The",2004,90,200000,6,29,14.5,0,4.5,0,4.5,4.5,4.5,14.5,14.5,44.5,"",0,0,0,0,0,0,0
"Curse of Frankenstein, The",1957,83,500000,6.8,648,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"",0,0,0,1,0,0,0
"Curse of the Jade Scorpion, The",2001,103,26000000,6.8,5846,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"PG-13",0,0,1,1,0,0,0
"Curse of the Living Corpse, The",1964,84,120000,3.9,40,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"Curse of the Puppet Master",1998,77,250000,2.7,267,24.5,14.5,14.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Curse of the Queerwolf",1988,90,10000,3.5,55,24.5,4.5,0,4.5,4.5,4.5,14.5,4.5,4.5,24.5,"",0,0,1,0,0,0,0
"Cursed",2005,97,35000000,4.7,1277,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Curucu, Beast of the Amazon",1956,76,155000,5.6,27,14.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"Cusp",2000,25,60000,7.3,12,0,0,0,0,0,14.5,24.5,4.5,24.5,24.5,"",0,0,0,0,0,0,1
"Custodial Code, The",2003,15,12000,9.7,7,0,0,0,0,0,0,0,0,24.5,74.5,"",0,0,1,0,0,0,1
"Cutaway",2000,104,9000000,5.1,390,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Cutthroat Island",1995,119,92000000,5.1,3942,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,1,0
"Cyborg",1989,86,2000000,3.8,2320,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"",1,0,0,0,0,0,0
"Cypher",2002,95,7500000,7.2,3160,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",1,0,0,0,0,0,0
"D-Tox",2002,92,55000000,4.7,2742,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"D.E.B.S.",2004,91,3500000,6,300,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,34.5,"PG-13",1,0,1,0,0,0,0
"D.I.Y. or Die: How to Survive as an Independent Artist",2002,55,5000,9.4,10,0,0,0,0,0,0,0,34.5,0,74.5,"",0,0,0,0,1,0,0
"Daddy Cool",2002,85,150000,5.7,17,4.5,0,14.5,4.5,4.5,14.5,4.5,14.5,14.5,24.5,"",0,0,0,0,0,0,0
"Daddy Day Care",2003,92,60000000,5.7,3803,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Daddy and Them",2001,101,4000000,5,364,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Daddy's Boys",1988,90,300000,2.7,6,34.5,0,0,0,34.5,14.5,14.5,0,0,0,"",0,0,1,0,0,0,0
"Daddy-O",1958,74,100000,2.5,158,34.5,24.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"",0,0,0,1,0,0,0
"Dagon",2001,97,4800000,6,1549,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Daisy Miller",1974,91,2000000,5.5,172,4.5,4.5,4.5,4.5,24.5,14.5,14.5,14.5,4.5,4.5,"",0,0,0,1,0,0,0
"Dalton, Les",2004,86,27000000,2.7,89,44.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0
"Damaged Lives",1933,61,10000,4.2,14,24.5,4.5,24.5,0,24.5,0,4.5,4.5,4.5,0,"",0,0,0,1,0,0,0
"Damned, The",1963,96,500000,7,130,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,0,0,1,0,0,0
"Damned, The",2001,90,30000,2.2,22,44.5,14.5,0,0,0,0,4.5,4.5,0,34.5,"R",0,0,0,0,0,0,0
"Damsel in Distress, A",1937,98,1035000,6.9,181,0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"",0,0,1,0,0,1,0
"Dance Lexie Dance",1996,14,75000,4,15,14.5,0,4.5,4.5,0,0,14.5,24.5,14.5,24.5,"",0,0,0,0,0,0,1
"Dances with Wolves",1990,236,19000000,7.8,28561,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"",0,0,0,1,0,0,0
"Dancing Lady",1933,92,923055,6.4,170,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,14.5,"",0,0,1,0,0,1,0
"Dancing in September",2000,102,850000,6.4,166,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Dangerous Liaisons",1988,119,14000000,7.6,12559,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"",0,0,0,1,0,1,0
"Dangerous Lives of Altar Boys, The",2002,105,12000000,7.2,3274,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Dangerous Money",1946,66,75000,6.2,88,4.5,4.5,4.5,0,4.5,4.5,4.5,14.5,24.5,34.5,"",0,0,0,1,0,0,0
"Dangerous Stranger, The",1950,10,1000,3.6,14,24.5,4.5,4.5,4.5,4.5,14.5,4.5,24.5,0,4.5,"",0,0,0,1,0,0,1
"Dansk sexualitet",1969,75,15000,2.4,6,14.5,14.5,0,14.5,0,0,14.5,0,0,34.5,"",0,0,0,0,1,0,0
"Dante's Inferno",1935,88,748900,6.6,80,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,4.5,"",0,0,0,1,0,0,0
"Dante's Peak",1997,104,104000000,5.6,9203,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",1,0,0,1,0,0,0
"Darcy's Off-White Wedding",2005,10,7000,9.4,5,0,0,0,0,0,0,0,0,64.5,44.5,"",0,0,1,0,0,0,1
"Daredevil",2003,133,75000000,5.7,20642,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Daredevils of the Red Circle",1939,211,126118,7.8,48,4.5,0,0,0,0,14.5,4.5,14.5,14.5,45.5,"",1,0,0,0,0,0,0
"Dark Agent and the Passing of the Torch Chapter 7, The",2004,13,10000,9.2,11,4.5,0,0,0,0,0,0,0,0,94.5,"",0,0,0,0,0,0,1
"Dark Alibi",1946,61,75000,7,83,0,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,"",0,0,0,1,0,0,0
"Dark Blue",2002,118,15000000,6.6,3882,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0
"Dark City",1998,100,27000000,7.6,23508,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,"",0,0,0,0,0,0,0
